"","Cell.line","Mean.AUC.score","Run.time","Number.of.trained.patterns"
1,E003,0.92022,22.0046833475431,22
2,E004,0.87614,28.6673589468002,29
3,E005,0.90403,24.2629516601563,24
4,E006,0.91141,23.1260591268539,22
5,E007,0.86177,29.9921380559603,25
6,E011,0.92564,17.9704597473145,11
7,E012,0.94363,18.4262041052183,14
8,E013,0.94874,10.7302177349726,9
9,E016,0.94602,21.7937589685122,16
10,E024,0.91346,20.4459355751673,19
11,E027,0.93254,16.5053948283195,15
12,E028,0.94008,17.7490038990974,15
13,E037,0.90882,21.8272937178612,19
14,E038,0.90113,21.4632996280988,22
15,E047,0.91804,22.6309643705686,14
16,E050,0.93376,15.9349692861239,14
17,E053,0.95064,13.5410215377808,9
18,E054,0.95079,17.6003869096438,14
19,E055,0.95169,17.4757553100586,14
20,E056,0.94551,17.6277367989222,14
21,E057,0.94466,15.9450216372808,16
22,E058,0.94502,15.3841726144155,12
23,E059,0.92934,26.2641645987829,19
24,E061,0.95309,14.9148644765218,13
25,E062,0.9278,19.7467582861582,15
26,E065,0.87392,27.0883624752363,19
27,E066,0.93322,17.7642092943192,15
28,E070,0.93942,19.2942607522011,16
29,E071,0.9151,15.4156957507133,16
30,E079,0.9022,24.343946492672,20
31,E082,0.93846,20.6192506233851,15
32,E084,0.93312,20.5970037380854,14
33,E085,0.93023,20.1513042410215,14
34,E087,0.92771,19.8248798926671,18
35,E094,0.87874,24.9895403901736,22
36,E095,0.93673,20.2201516707738,18
37,E096,0.89884,21.0487091064453,21
38,E097,0.93094,18.0235106229782,14
39,E098,0.90333,25.0643549919128,24
40,E100,0.92918,21.013844704628,17
41,E104,0.92917,19.9806745370229,15
42,E105,0.92285,17.3856363415718,15
43,E106,0.93178,21.0410794615746,21
44,E109,0.9112,22.5106993079186,18
45,E112,0.89568,27.9074267427127,22
46,E113,0.8844,27.0559962630272,26
47,E114,0.92845,21.2676929354668,19
48,E116,0.93772,25.7835773189863,22
49,E117,0.95427,17.1926355799039,14
50,E118,0.95423,14.3915158470472,13
51,E119,0.95048,17.3573600053787,14
52,E120,0.95926,14.039379243056,14
53,E122,0.95138,15.9073914726575,14
54,E123,0.95392,14.9909934361776,11
55,E127,0.93716,18.1419676303864,15
56,E128,0.94959,16.4269702474276,11
