"","Cell.line","Mean.AUC.score","Run.time","Number.of.trained.patterns"
1,E003,0.89996,28.1360481977463,28
2,E004,0.87554,29.1534952958425,33
3,E005,0.87691,29.1538574099541,26
4,E006,0.87579,33.3992974996567,35
5,E007,0.87762,33.7655186335246,33
6,E011,0.90899,24.5760508298874,22
7,E012,0.93283,20.9469293435415,19
8,E013,0.93174,26.550911351045,23
9,E016,0.91612,21.7012648661931,23
10,E024,0.89254,26.4958351373672,25
11,E027,0.92385,30.3688826203346,29
12,E028,0.91091,23.5422005931536,24
13,E037,0.91519,28.7748199661573,29
14,E038,0.9247,24.2696568131447,24
15,E047,0.92264,25.7822605371475,20
16,E050,0.93505,18.361668976148,20
17,E053,0.92044,23.8078651666641,20
18,E054,0.92758,25.4222174843152,23
19,E055,0.93672,20.9423540989558,18
20,E056,0.91242,22.2397083679835,25
21,E057,0.92418,23.464101099968,18
22,E058,0.94494,19.0948525746663,16
23,E059,0.88704,29.6481605688731,24
24,E061,0.9383,19.4704395095507,15
25,E062,0.91235,29.8122326652209,27
26,E065,0.83134,44.6333666086197,51
27,E066,0.89797,30.2614004969597,27
28,E070,0.90459,27.2592386841774,24
29,E071,0.84896,37.5119244337082,38
30,E079,0.86461,45.1398765047391,38
31,E082,0.8881,33.0181409517924,34
32,E084,0.89078,32.3584008177121,31
33,E085,0.89507,32.9395910104116,33
34,E087,0.8852,32.6616109848022,30
35,E094,0.83748,45.1901268919309,46
36,E095,0.90125,36.3249838749568,29
37,E096,0.86937,46.8044940074285,45
38,E097,0.90707,25.3605204224586,26
39,E098,0.84505,32.9462634325027,36
40,E100,0.92067,23.625511153539,21
41,E104,0.88833,32.4229271928469,31
42,E105,0.89457,28.2407111485799,30
43,E106,0.85038,33.0738143444061,34
44,E109,0.86678,36.8654070019722,35
45,E112,0.8668,33.481925880909,28
46,E113,0.86652,41.3280768712362,38
47,E114,0.91753,20.7139548420906,19
48,E116,0.93432,21.4836350838343,19
49,E117,0.93643,17.9240202188492,15
50,E118,0.93765,21.0563681523005,16
51,E119,0.92899,19.8093206922213,20
52,E120,0.92602,23.1837812185287,20
53,E122,0.92902,24.65527617534,23
54,E123,0.94792,17.2128260930379,16
55,E127,0.93123,21.67349096934,21
56,E128,0.92966,19.3603712161382,16
